scenario,policy,start,success,evac_time,fed,incapacitated,timed_out,smoke_time,fire_time,wait_time,path_length,n_reroutes,plan_ms,n_plans
23,dynamic_risk,N5_3,1,8.955223908279192,0.0,0,0,0.0,0.0,0.0,12.0,0,3.395,1
23,dynamic_perfect_perception,N5_3,1,8.955223908279192,0.0,0,0,0.0,0.0,0.0,12.0,0,2.136,1
23,oracle,N5_3,1,8.955223908279192,0.0,0,0,0.0,0.0,0.0,12.0,0,0.0,0
24,shortest_path,N4_8,1,17.938850846036516,0.0009,0,0,0.0,0.0,0.0,24.0,0,0.693,2
24,static_risk,N4_8,1,17.946973724068187,0.0009,0,0,0.0,0.0,0.0,24.0,0,3.074,2
24,dynamic_risk,N4_8,1,17.946973724068187,0.0009,0,0,0.0,0.0,0.0,24.0,0,4.916,2
24,dynamic_perfect_perception,N4_8,1,17.938850846036516,0.0009,0,0,0.0,0.0,0.0,24.0,0,4.046,2
24,oracle,N4_8,1,17.938850846036516,0.0009,0,0,0.0,0.0,0.0,24.0,0,0.0,0
25,shortest_path,N2_7,1,43.83852672112736,0.564,0,0,43.84,2.97,0.0,48.0,1,1.939,7
25,static_risk,N2_7,1,43.83852672112736,0.564,0,0,43.84,2.97,0.0,48.0,0,8.923,5
25,dynamic_risk,N2_7,1,43.83852672112736,0.564,0,0,43.84,2.97,0.0,48.0,0,11.741,4
25,dynamic_perfect_perception,N2_7,1,50.86793339164861,0.2031,0,0,2.64,0.0,0.0,60.0,0,15.498,5
25,oracle,N2_7,1,50.86793339164861,0.2031,0,0,2.64,0.0,0.0,60.0,0,0.0,0
26,shortest_path,N5_1,1,8.955223880597014,0.0,0,0,0.0,0.0,0.0,12.0,0,0.32,1
26,static_risk,N5_1,1,8.955223880597014,0.0,0,0,0.0,0.0,0.0,12.0,0,3.574,1
26,dynamic_risk,N5_1,1,8.955223880597014,0.0,0,0,0.0,0.0,0.0,12.0,0,3.218,1
26,dynamic_perfect_perception,N5_1,1,8.955223880597014,0.0,0,0,0.0,0.0,0.0,12.0,0,3.042,1
26,oracle,N5_1,1,8.955223880597014,0.0,0,0,0.0,0.0,0.0,12.0,0,0.0,0
27,shortest_path,N4_4,1,8.969832126544999,0.0,0,0,0.0,0.0,0.0,12.0,0,0.203,1
27,static_risk,N4_4,1,8.969832126544999,0.0,0,0,0.0,0.0,0.0,12.0,0,4.215,1
27,dynamic_risk,N4_4,1,8.969832126544999,0.0,0,0,0.0,0.0,0.0,12.0,0,3.009,1
27,dynamic_perfect_perception,N4_4,1,8.969832126544999,0.0,0,0,0.0,0.0,0.0,12.0,0,2.826,1
27,oracle,N4_4,1,8.969832126544999,0.0,0,0,0.0,0.0,0.0,12.0,0,0.0,0
28,shortest_path,N1_0,1,10.053497037088086,0.142,0,0,0.0,1.05,0.0,12.0,0,0.227,1
28,static_risk,N1_0,1,10.053497037088086,0.142,0,0,0.0,1.05,0.0,12.0,0,2.856,1
28,dynamic_risk,N1_0,1,10.053497037088086,0.142,0,0,0.0,1.05,0.0,12.0,0,1.914,1
28,dynamic_perfect_perception,N1_0,1,10.053497037088086,0.142,0,0,0.0,1.05,0.0,12.0,0,1.732,1
28,oracle,N1_0,1,10.053497037088086,0.142,0,0,0.0,1.05,0.0,12.0,0,0.0,0
29,shortest_path,N3_8,1,32.57527537094737,0.1903,0,0,20.58,0.0,0.0,36.0,0,0.836,3
29,static_risk,N3_8,1,32.57523996917235,0.1903,0,0,20.58,0.0,0.0,36.0,0,2.52,3
29,dynamic_risk,N3_8,1,32.57523996917235,0.1903,0,0,20.58,0.0,0.0,36.0,0,6.164,3
29,dynamic_perfect_perception,N3_8,1,32.57523996917235,0.1903,0,0,20.58,0.0,0.0,36.0,0,6.909,3
29,oracle,N3_8,1,32.57523996917235,0.1903,0,0,20.58,0.0,0.0,36.0,0,0.0,0
30,shortest_path,N3_7,1,35.82136034196182,0.0,0,0,0.0,0.0,0.0,48.0,0,1.344,4
30,static_risk,N3_7,0,,1.0,1,0,43.84,4.0,0.0,60.0,0,3.9,5
30,dynamic_risk,N3_7,1,35.82136050351086,0.0,0,0,0.0,0.0,0.0,48.0,1,11.551,4
30,dynamic_perfect_perception,N3_7,1,35.82089554950127,0.0,0,0,0.0,0.0,0.0,48.0,0,7.028,4
30,oracle,N3_7,1,35.82089554950127,0.0,0,0,0.0,0.0,0.0,48.0,0,0.0,0
31,shortest_path,N0_1,1,11.927389950110989,0.0991,0,0,11.93,0.0,0.0,12.0,0,0.199,1
31,static_risk,N0_1,1,11.927389950110989,0.0991,0,0,11.93,0.0,0.0,12.0,0,2.277,1
31,dynamic_risk,N0_1,1,11.927389950110989,0.0991,0,0,11.93,0.0,0.0,12.0,0,1.762,1
31,dynamic_perfect_perception,N0_1,1,11.927389950110989,0.0991,0,0,11.93,0.0,0.0,12.0,0,3.09,1
31,oracle,N0_1,1,36.513858507660764,0.023,0,0,0.0,0.0,0.0,48.0,0,0.0,0
32,shortest_path,N0_6,1,10.239325073334397,0.0428,0,0,1.24,0.0,0.0,12.0,0,0.32,1
32,static_risk,N0_6,1,10.239325073334397,0.0428,0,0,1.24,0.0,0.0,12.0,0,2.834,1
32,dynamic_risk,N0_6,1,10.239325073334397,0.0428,0,0,1.24,0.0,0.0,12.0,0,2.003,1
32,dynamic_perfect_perception,N0_6,1,10.239325073334397,0.0428,0,0,1.24,0.0,0.0,12.0,0,2.305,1
32,oracle,N0_6,1,10.239325073334397,0.0428,0,0,1.24,0.0,0.0,12.0,0,0.0,0
33,shortest_path,N3_9,1,17.91067621282892,0.0,0,0,0.0,0.0,0.0,24.0,0,0.456,2
33,static_risk,N3_9,1,17.91067621282892,0.0,0,0,0.0,0.0,0.0,24.0,0,2.469,2
33,dynamic_risk,N3_9,1,17.91067621282892,0.0,0,0,0.0,0.0,0.0,24.0,0,3.806,2
33,dynamic_perfect_perception,N3_9,1,17.91067621282892,0.0,0,0,0.0,0.0,0.0,24.0,0,5.486,2
33,oracle,N3_9,1,17.91067621282892,0.0,0,0,0.0,0.0,0.0,24.0,0,0.0,0
34,shortest_path,N3_6,0,,1.0,1,0,47.22,5.25,0.0,48.0,0,1.506,4
34,static_risk,N3_6,0,,1.0,1,0,47.22,5.25,0.0,48.0,1,8.815,5
34,dynamic_risk,N3_6,0,,1.0,1,0,41.42,6.25,0.0,48.0,0,11.949,4
34,dynamic_perfect_perception,N3_6,0,,1.0,1,0,47.22,5.25,0.0,48.0,0,10.757,4
34,oracle,N3_6,0,,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
35,shortest_path,N3_8,1,30.135742354805164,0.109,0,0,0.14,0.0,0.0,36.0,0,1.246,3
35,static_risk,N3_8,1,30.135742354805164,0.109,0,0,0.14,0.0,0.0,36.0,0,3.396,3
35,dynamic_risk,N3_8,1,30.135742354805164,0.109,0,0,0.14,0.0,0.0,36.0,0,6.159,3
35,dynamic_perfect_perception,N3_8,1,30.135742354805164,0.109,0,0,0.14,0.0,0.0,36.0,0,5.759,3
35,oracle,N3_8,1,30.135742354805164,0.109,0,0,0.14,0.0,0.0,36.0,0,0.0,0
36,shortest_path,N2_4,1,29.144830517452355,0.4135,0,0,3.38,3.38,0.0,36.0,0,1.194,4
36,static_risk,N2_4,1,28.404999918189755,0.384,0,0,2.33,3.33,0.0,36.0,0,3.822,3
36,dynamic_risk,N2_4,1,28.404999918189755,0.384,0,0,2.33,3.33,0.0,36.0,0,7.844,3
36,dynamic_perfect_perception,N2_4,1,28.404999918189755,0.384,0,0,2.33,3.33,0.0,36.0,0,6.118,3
36,oracle,N2_4,1,26.884294150786726,0.0,0,0,0.0,0.0,0.0,36.0,0,0.0,0
37,shortest_path,N4_6,1,26.879991133015647,0.0,0,0,0.0,0.0,0.0,36.0,0,0.805,3
37,static_risk,N4_6,1,35.826359722000426,0.0,0,0,0.0,0.0,0.0,48.0,0,3.592,4
37,dynamic_risk,N4_6,1,35.826359722000426,0.0,0,0,0.0,0.0,0.0,48.0,0,10.553,4
37,dynamic_perfect_perception,N4_6,1,26.865671647236564,0.0,0,0,0.0,0.0,0.0,36.0,0,5.633,3
37,oracle,N4_6,1,26.865671647236564,0.0,0,0,0.0,0.0,0.0,36.0,0,0.0,0
38,shortest_path,N4_3,0,,1.0,1,0,11.0,9.0,0.0,12.0,0,0.237,1
38,static_risk,N4_3,0,,1.0,1,0,11.0,9.0,0.0,12.0,0,3.522,1
38,dynamic_risk,N4_3,0,,1.0,1,0,11.0,9.0,0.0,12.0,0,2.881,1
38,dynamic_perfect_perception,N4_3,1,18.505554463562984,0.0198,0,0,0.0,0.0,0.0,24.0,0,5.241,2
38,oracle,N4_3,1,35.82117492765505,0.0,0,0,0.0,0.0,0.0,48.0,0,0.0,0
39,shortest_path,N1_6,1,17.912183101424127,0.0,0,0,0.0,0.0,0.0,24.0,0,0.709,2
39,static_risk,N1_6,1,17.912183101424127,0.0,0,0,0.0,0.0,0.0,24.0,0,2.779,2
39,dynamic_risk,N1_6,1,17.912183101424127,0.0,0,0,0.0,0.0,0.0,24.0,0,4.449,2
39,dynamic_perfect_perception,N1_6,1,17.910447761418244,0.0,0,0,0.0,0.0,0.0,24.0,0,4.88,2
39,oracle,N1_6,1,17.910447761418244,0.0,0,0,0.0,0.0,0.0,24.0,0,0.0,0
40,shortest_path,N3_2,1,35.82499776550967,0.0,0,0,0.0,0.0,0.0,48.0,0,1.456,4
40,static_risk,N3_2,1,35.82096339788201,0.0,0,0,0.0,0.0,0.0,48.0,0,4.22,4
40,dynamic_risk,N3_2,1,35.82096339788201,0.0,0,0,0.0,0.0,0.0,48.0,0,11.275,4
40,dynamic_perfect_perception,N3_2,1,35.82089552238806,0.0,0,0,0.0,0.0,0.0,48.0,0,10.018,4
40,oracle,N3_2,1,35.82089552238806,0.0,0,0,0.0,0.0,0.0,48.0,0,0.0,0
41,shortest_path,N2_7,1,51.0225985156797,0.9861,0,0,51.02,4.8,0.0,48.0,0,1.291,4
41,static_risk,N2_7,1,43.65172763892128,0.261,0,0,27.53,0.0,0.0,48.0,0,3.715,4
41,dynamic_risk,N2_7,1,43.65380076444932,0.261,0,0,27.53,0.0,0.0,48.0,2,11.459,4
41,dynamic_perfect_perception,N2_7,1,43.65172763892128,0.261,0,0,27.53,0.0,0.0,48.0,0,11.493,4
41,oracle,N2_7,1,52.608627199977754,0.261,0,0,27.53,0.0,0.0,60.0,0,0.0,0
42,shortest_path,N4_3,1,18.30954919276918,0.0133,0,0,0.0,0.0,0.0,24.0,0,0.6,2
42,static_risk,N4_3,1,17.923810377000656,0.0,0,0,0.0,0.0,0.0,24.0,0,4.322,2
42,dynamic_risk,N4_3,1,17.923810377000656,0.0,0,0,0.0,0.0,0.0,24.0,0,5.333,2
42,dynamic_perfect_perception,N4_3,1,18.30954919276918,0.0133,0,0,0.0,0.0,0.0,24.0,0,3.738,2
42,oracle,N4_3,1,17.923810377000656,0.0,0,0,0.0,0.0,0.0,24.0,0,0.0,0
43,shortest_path,N0_3,1,17.91044776119403,0.0,0,0,0.0,0.0,0.0,24.0,0,0.368,2
43,static_risk,N0_3,1,17.91044776119403,0.0,0,0,0.0,0.0,0.0,24.0,0,2.711,2
43,dynamic_risk,N0_3,1,17.91044776119403,0.0,0,0,0.0,0.0,0.0,24.0,0,4.1,2
43,dynamic_perfect_perception,N0_3,1,17.91044776119403,0.0,0,0,0.0,0.0,0.0,24.0,0,3.405,2
43,oracle,N0_3,1,17.91044776119403,0.0,0,0,0.0,0.0,0.0,24.0,0,0.0,0
44,shortest_path,N2_9,1,18.0132688272467,0.0034,0,0,0.0,0.0,0.0,24.0,0,0.464,2
44,static_risk,N2_9,1,18.0132688272467,0.0034,0,0,0.0,0.0,0.0,24.0,0,3.571,2
44,dynamic_risk,N2_9,1,18.0132688272467,0.0034,0,0,0.0,0.0,0.0,24.0,0,5.833,2
44,dynamic_perfect_perception,N2_9,1,18.0132688272467,0.0034,0,0,0.0,0.0,0.0,24.0,0,5.209,2
44,oracle,N2_9,1,18.0132688272467,0.0034,0,0,0.0,0.0,0.0,24.0,0,0.0,0
45,shortest_path,N2_0,1,17.91044776119403,0.0,0,0,0.0,0.0,0.0,24.0,0,0.695,2
45,static_risk,N2_0,1,17.91044776119403,0.0,0,0,0.0,0.0,0.0,24.0,0,2.715,2
