scenario,policy,start,success,evac_time,fed,incapacitated,timed_out,smoke_time,fire_time,wait_time,path_length,n_reroutes,plan_ms,n_plans
11,oracle,C1,1,24.902835283314566,0.2581,0,0,3.74,1.74,0.0,30.0,0,0.0,0
12,shortest_path,C1,0,,1.0,1,0,65.0,5.21,65.0,10.0,0,3.342,261
12,static_risk,C1,1,23.6418632019468,0.0169,0,0,0.0,0.0,0.0,31.0,0,0.212,2
12,dynamic_risk,C1,1,23.6418632019468,0.0169,0,0,0.0,0.0,0.0,31.0,0,4.343,2
12,dynamic_perfect_perception,C1,1,23.6418632019468,0.0169,0,0,0.0,0.0,0.0,31.0,0,0.395,2
12,oracle,C1,1,23.6418632019468,0.0169,0,0,0.0,0.0,0.0,31.0,0,0.0,0
13,shortest_path,JB,1,20.485476529213837,0.2339,0,0,19.49,0.49,0.0,20.0,0,0.026,1
13,static_risk,JB,1,20.485476529213837,0.2339,0,0,19.49,0.49,0.0,20.0,0,0.238,1
13,dynamic_risk,JB,1,20.485476529213837,0.2339,0,0,19.49,0.49,0.0,20.0,0,0.168,1
13,dynamic_perfect_perception,JB,1,20.485476529213837,0.2339,0,0,19.49,0.49,0.0,20.0,0,0.179,1
13,oracle,JB,1,20.485476529213837,0.2339,0,0,19.49,0.49,0.0,20.0,0,0.0,0
14,shortest_path,S,1,18.538215638210545,0.7662,0,0,18.54,6.46,0.0,20.0,0,0.049,2
14,static_risk,S,1,18.538215638210545,0.7662,0,0,18.54,6.46,0.0,20.0,0,0.258,2
14,dynamic_risk,S,1,18.538215638210545,0.7662,0,0,18.54,6.46,0.0,20.0,0,0.403,2
14,dynamic_perfect_perception,S,1,18.538215638210545,0.7662,0,0,18.54,6.46,0.0,20.0,0,0.368,2
14,oracle,S,1,18.538215638210545,0.7662,0,0,18.54,6.46,0.0,20.0,0,0.0,0
15,shortest_path,JA,1,10.998584225547622,0.0681,0,0,9.0,0.0,0.0,12.0,0,0.025,1
15,static_risk,JA,1,10.998584225547622,0.0681,0,0,9.0,0.0,0.0,12.0,0,0.26,1
15,dynamic_risk,JA,1,10.998584225547622,0.0681,0,0,9.0,0.0,0.0,12.0,0,0.188,1
15,dynamic_perfect_perception,JA,1,10.998584225547622,0.0681,0,0,9.0,0.0,0.0,12.0,0,0.22,1
15,oracle,JA,1,10.998584225547622,0.0681,0,0,9.0,0.0,0.0,12.0,0,0.0,0
16,shortest_path,JB,1,14.927951448387644,0.0001,0,0,0.0,0.0,0.0,20.0,0,0.024,1
16,static_risk,JB,1,14.927951448387644,0.0001,0,0,0.0,0.0,0.0,20.0,0,0.219,1
16,dynamic_risk,JB,1,14.927951448387644,0.0001,0,0,0.0,0.0,0.0,20.0,0,0.175,1
16,dynamic_perfect_perception,JB,1,14.927951448387644,0.0001,0,0,0.0,0.0,0.0,20.0,0,0.162,1
16,oracle,JB,1,14.927951448387644,0.0001,0,0,0.0,0.0,0.0,20.0,0,0.0,0
17,shortest_path,C2,1,19.29305650738305,0.0667,0,0,6.29,0.0,0.0,16.0,0,0.026,1
17,static_risk,C2,1,19.29305650738305,0.0667,0,0,6.29,0.0,0.0,16.0,0,0.252,1
17,dynamic_risk,C2,1,19.29305650738305,0.0667,0,0,6.29,0.0,0.0,16.0,0,0.203,1
17,dynamic_perfect_perception,C2,1,19.29305650738305,0.0667,0,0,6.29,0.0,0.0,16.0,0,0.234,1
17,oracle,C2,1,19.29305650738305,0.0667,0,0,6.29,0.0,0.0,16.0,0,0.0,0
18,shortest_path,JA,1,9.8000073690922,0.0282,0,0,0.0,0.0,0.0,12.0,0,0.029,1
18,static_risk,JA,1,9.8000073690922,0.0282,0,0,0.0,0.0,0.0,12.0,0,0.284,1
18,dynamic_risk,JA,1,9.8000073690922,0.0282,0,0,0.0,0.0,0.0,12.0,0,0.179,1
18,dynamic_perfect_perception,JA,1,9.8000073690922,0.0282,0,0,0.0,0.0,0.0,12.0,0,0.176,1
18,oracle,JA,1,9.8000073690922,0.0282,0,0,0.0,0.0,0.0,12.0,0,0.0,0
19,shortest_path,S,1,24.893096104238317,0.339,0,0,16.89,2.06,0.0,28.0,0,0.069,3
19,static_risk,S,1,24.893096104238317,0.339,0,0,16.89,2.06,0.0,28.0,0,4.256,2
19,dynamic_risk,S,1,24.893096104238317,0.339,0,0,16.89,2.06,0.0,28.0,0,0.318,2
19,dynamic_perfect_perception,S,1,24.893096104238317,0.339,0,0,16.89,2.06,0.0,28.0,0,0.301,2
19,oracle,S,1,24.893096104238317,0.339,0,0,16.89,2.06,0.0,28.0,0,0.0,0
20,shortest_path,JA,1,9.003883951814801,0.0008,0,0,0.0,0.0,0.0,12.0,0,0.028,1
20,static_risk,JA,1,9.003883951814801,0.0008,0,0,0.0,0.0,0.0,12.0,0,0.23,1
20,dynamic_risk,JA,1,9.003883951814801,0.0008,0,0,0.0,0.0,0.0,12.0,0,0.156,1
20,dynamic_perfect_perception,JA,1,9.003883951814801,0.0008,0,0,0.0,0.0,0.0,12.0,0,0.149,1
20,oracle,JA,1,9.003883951814801,0.0008,0,0,0.0,0.0,0.0,12.0,0,0.0,0
21,shortest_path,JA,1,8.955223880597014,0.0,0,0,0.0,0.0,0.0,12.0,0,0.023,1
21,static_risk,JA,1,8.955223880597014,0.0,0,0,0.0,0.0,0.0,12.0,0,0.225,1
21,dynamic_risk,JA,1,8.955223880597014,0.0,0,0,0.0,0.0,0.0,12.0,0,0.207,1
21,dynamic_perfect_perception,JA,1,8.955223880597014,0.0,0,0,0.0,0.0,0.0,12.0,0,0.17,1
21,oracle,JA,1,8.955223880597014,0.0,0,0,0.0,0.0,0.0,12.0,0,0.0,0
22,shortest_path,JA,0,,1.0,1,0,192.0,0.0,192.0,0.0,0,15.257,576
22,static_risk,JA,0,,1.0,1,0,192.0,0.0,192.0,0.0,0,71.35,384
22,dynamic_risk,JA,0,,1.0,1,0,192.0,0.0,192.0,0.0,0,155.444,384
22,dynamic_perfect_perception,JA,0,,1.0,1,0,192.0,0.0,192.0,0.0,0,149.167,384
22,oracle,JA,0,,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
23,shortest_path,JB,0,,1.0,1,0,92.0,0.0,92.0,0.0,0,12.652,368
23,static_risk,JB,0,,1.0,1,0,92.0,0.0,92.0,0.0,0,36.734,184
23,dynamic_risk,JB,0,,1.0,1,0,92.0,0.0,92.0,0.0,0,86.631,194
23,dynamic_perfect_perception,JB,0,,1.0,1,0,92.0,0.0,92.0,0.0,0,85.696,184
23,oracle,JB,0,,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
24,shortest_path,C1,0,,1.0,1,0,29.94,5.94,18.0,10.0,0,1.016,73
24,static_risk,C1,1,27.206800026209173,0.0908,0,0,8.63,0.0,0.0,32.8,0,0.263,2
24,dynamic_risk,C1,1,27.206800026209173,0.0908,0,0,8.63,0.0,0.0,32.8,0,0.337,2
24,dynamic_perfect_perception,C1,1,23.134347518003253,0.0,0,0,0.0,0.0,0.0,31.0,0,0.344,2
24,oracle,C1,1,23.134347518003253,0.0,0,0,0.0,0.0,0.0,31.0,0,0.0,0
25,shortest_path,C1,0,,1.0,1,0,99.0,0.0,99.0,0.0,0,14.643,396
25,static_risk,C1,0,,1.0,1,0,99.0,0.0,99.0,0.0,0,97.649,297
25,dynamic_risk,C1,0,,1.0,1,0,99.0,0.0,99.0,0.0,0,131.125,287
25,dynamic_perfect_perception,C1,0,,1.0,1,0,99.0,0.0,99.0,0.0,0,131.817,297
25,oracle,C1,0,,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
26,shortest_path,JA,1,9.914128908463114,0.0319,0,0,0.91,0.0,0.0,12.0,0,0.035,1
26,static_risk,JA,1,9.914128908463114,0.0319,0,0,0.91,0.0,0.0,12.0,0,4.307,1
26,dynamic_risk,JA,1,9.914128908463114,0.0319,0,0,0.91,0.0,0.0,12.0,0,0.196,1
26,dynamic_perfect_perception,JA,1,9.914128908463114,0.0319,0,0,0.91,0.0,0.0,12.0,0,0.17,1
26,oracle,JA,1,9.914128908463114,0.0319,0,0,0.91,0.0,0.0,12.0,0,0.0,0
27,shortest_path,C1,1,22.388060168074936,0.0,0,0,0.0,0.0,0.0,30.0,0,0.06,3
27,static_risk,C1,1,23.134328358208954,0.0,0,0,0.0,0.0,0.0,31.0,0,0.215,2
27,dynamic_risk,C1,1,23.134328358208954,0.0,0,0,0.0,0.0,0.0,31.0,0,0.32,2
27,dynamic_perfect_perception,C1,1,22.388060168074936,0.0,0,0,0.0,0.0,0.0,30.0,0,0.432,3
27,oracle,C1,1,22.388060168074936,0.0,0,0,0.0,0.0,0.0,30.0,0,0.0,0
28,shortest_path,S,0,,1.0,1,0,137.0,0.0,137.0,0.0,0,14.747,548
28,static_risk,S,0,,1.0,1,0,137.0,0.0,137.0,0.0,0,147.239,411
28,dynamic_risk,S,0,,1.0,1,0,137.0,0.0,137.0,0.0,0,147.136,336
28,dynamic_perfect_perception,S,0,,1.0,1,0,137.0,0.0,137.0,0.0,0,94.592,274
28,oracle,S,0,,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
29,shortest_path,C2,1,14.733837724541736,0.0931,0,0,10.73,0.0,0.0,16.0,0,0.028,1
29,static_risk,C2,1,14.733837724541736,0.0931,0,0,10.73,0.0,0.0,16.0,0,4.32,1
29,dynamic_risk,C2,1,14.733837724541736,0.0931,0,0,10.73,0.0,0.0,16.0,0,0.208,1
29,dynamic_perfect_perception,C2,1,14.733837724541736,0.0931,0,0,10.73,0.0,0.0,16.0,0,0.191,1
29,oracle,C2,1,14.733837724541736,0.0931,0,0,10.73,0.0,0.0,16.0,0,0.0,0
30,shortest_path,C2,1,12.702377681348484,0.0254,0,0,0.0,0.0,0.0,16.0,0,0.026,1
30,static_risk,C2,1,12.702377681348484,0.0254,0,0,0.0,0.0,0.0,16.0,0,0.25,1
30,dynamic_risk,C2,1,12.702377681348484,0.0254,0,0,0.0,0.0,0.0,16.0,0,0.21,1
30,dynamic_perfect_perception,C2,1,12.702377681348484,0.0254,0,0,0.0,0.0,0.0,16.0,0,0.176,1
30,oracle,C2,1,12.702377681348484,0.0254,0,0,0.0,0.0,0.0,16.0,0,0.0,0
31,shortest_path,S,1,21.783583516584013,0.2285,0,0,21.78,0.0,0.0,20.0,0,0.05,2
31,static_risk,S,1,21.783583516584013,0.2285,0,0,21.78,0.0,0.0,20.0,0,0.244,2
31,dynamic_risk,S,1,21.783583516584013,0.2285,0,0,21.78,0.0,0.0,20.0,0,0.383,2
31,dynamic_perfect_perception,S,1,21.783583516584013,0.2285,0,0,21.78,0.0,0.0,20.0,0,0.332,2
31,oracle,S,1,21.783583516584013,0.2285,0,0,21.78,0.0,0.0,20.0,0,0.0,0
32,shortest_path,S,0,,1.0,1,0,187.0,0.0,187.0,0.0,0,17.656,748
32,static_risk,S,0,,1.0,1,0,187.0,0.0,187.0,0.0,0,82.748,374
32,dynamic_risk,S,0,,1.0,1,0,187.0,0.0,187.0,0.0,0,199.901,467
32,dynamic_perfect_perception,S,0,,1.0,1,0,187.0,0.0,187.0,0.0,0,163.728,374
32,oracle,S,0,,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
33,shortest_path,C2,1,11.940298507462686,0.0,0,0,0.0,0.0,0.0,16.0,0,0.026,1
33,static_risk,C2,1,11.940298507462686,0.0,0,0,0.0,0.0,0.0,16.0,0,0.263,1
33,dynamic_risk,C2,1,11.940298507462686,0.0,0,0,0.0,0.0,0.0,16.0,0,0.167,1
33,dynamic_perfect_perception,C2,1,11.940298507462686,0.0,0,0,0.0,0.0,0.0,16.0,0,0.157,1
33,oracle,C2,1,11.940298507462686,0.0,0,0,0.0,0.0,0.0,16.0,0,0.0,0
34,shortest_path,C2,1,13.461253392464508,0.0507,0,0,2.46,0.0,0.0,16.0,0,0.024,1
34,static_risk,C2,1,13.461253392464508,0.0507,0,0,2.46,0.0,0.0,16.0,0,4.335,1
34,dynamic_risk,C2,1,13.461253392464508,0.0507,0,0,2.46,0.0,0.0,16.0,0,0.22,1
34,dynamic_perfect_perception,C2,1,13.461253392464508,0.0507,0,0,2.46,0.0,0.0,16.0,0,0.189,1
34,oracle,C2,1,13.461253392464508,0.0507,0,0,2.46,0.0,0.0,16.0,0,0.0,0
35,shortest_path,C2,1,12.309589777432484,0.0123,0,0,0.0,0.0,0.0,16.0,0,0.046,1
35,static_risk,C2,1,12.309589777432484,0.0123,0,0,0.0,0.0,0.0,16.0,0,0.239,1
35,dynamic_risk,C2,1,12.309589777432484,0.0123,0,0,0.0,0.0,0.0,16.0,0,0.17,1
35,dynamic_perfect_perception,C2,1,12.309589777432484,0.0123,0,0,0.0,0.0,0.0,16.0,0,0.189,1
35,oracle,C2,1,12.309589777432484,0.0123,0,0,0.0,0.0,0.0,16.0,0,0.0,0
36,shortest_path,JB,1,16.579368637552506,0.213,0,0,4.58,1.58,0.0,20.0,0,0.027,1
36,static_risk,JB,1,16.579368637552506,0.213,0,0,4.58,1.58,0.0,20.0,0,0.267,1
36,dynamic_risk,JB,1,16.579368637552506,0.213,0,0,4.58,1.58,0.0,20.0,0,0.191,1
36,dynamic_perfect_perception,JB,1,16.579368637552506,0.213,0,0,4.58,1.58,0.0,20.0,0,4.215,1
36,oracle,JB,1,16.579368637552506,0.213,0,0,4.58,1.58,0.0,20.0,0,0.0,0
