scenario,policy,start,success,evac_time,fed,incapacitated,timed_out,smoke_time,fire_time,wait_time,path_length,n_reroutes,plan_ms,n_plans
0,shortest_path,N2_7,0,,1.0,1,0,41.09,6.0,0.0,36.0,0,0.707,3
0,static_risk,N2_7,1,56.359020425610076,0.6846,0,0,56.36,0.0,0.0,48.0,0,3.006,4
0,dynamic_risk,N2_7,1,56.359020425610076,0.6846,0,0,56.36,0.0,0.0,48.0,0,8.292,4
0,dynamic_perfect_perception,N2_7,1,56.359020425610076,0.6846,0,0,56.36,0.0,0.0,48.0,0,7.884,4
0,oracle,N2_7,1,56.359020425610076,0.6846,0,0,56.36,0.0,0.0,48.0,0,0.0,0
1,shortest_path,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,0.382,2
1,static_risk,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,2.219,2
1,dynamic_risk,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,3.659,2
1,dynamic_perfect_perception,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,3.246,2
1,oracle,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,0.0,0
2,shortest_path,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,0.165,1
2,static_risk,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,2.204,1
2,dynamic_risk,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,1.785,1
2,dynamic_perfect_perception,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,1.677,1
2,oracle,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,0.0,0
3,shortest_path,N1_8,1,21.74928145550118,0.1279,0,0,14.75,0.0,0.0,24.0,0,0.406,2
3,static_risk,N1_8,1,21.747062772696964,0.1279,0,0,14.75,0.0,0.0,24.0,0,2.146,2
3,dynamic_risk,N1_8,1,21.747062772696964,0.1279,0,0,14.75,0.0,0.0,24.0,0,3.458,2
3,dynamic_perfect_perception,N1_8,1,21.747062772696964,0.1279,0,0,14.75,0.0,0.0,24.0,0,3.297,2
3,oracle,N1_8,1,21.747062772696964,0.1279,0,0,14.75,0.0,0.0,24.0,0,0.0,0
4,shortest_path,N1_8,1,17.988531561044123,0.0026,0,0,0.0,0.0,0.0,24.0,0,0.416,2
4,static_risk,N1_8,1,17.988531561044123,0.0026,0,0,0.0,0.0,0.0,24.0,0,2.282,2
4,dynamic_risk,N1_8,1,17.988531561044123,0.0026,0,0,0.0,0.0,0.0,24.0,0,3.977,2
4,dynamic_perfect_perception,N1_8,1,17.988188838792997,0.0026,0,0,0.0,0.0,0.0,24.0,0,3.761,2
4,oracle,N1_8,1,17.988188838792997,0.0026,0,0,0.0,0.0,0.0,24.0,0,0.0,0
5,shortest_path,N4_2,1,26.8724094951952,0.0,0,0,0.0,0.0,0.0,36.0,0,0.621,3
5,static_risk,N4_2,1,34.4034053304286,0.2513,0,0,22.82,0.0,0.0,36.0,0,2.21,3
5,dynamic_risk,N4_2,1,34.4034053304286,0.2513,0,0,22.82,0.0,0.0,36.0,0,7.861,3
5,dynamic_perfect_perception,N4_2,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,4.823,3
5,oracle,N4_2,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,0.0,0
6,shortest_path,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,0.157,1
6,static_risk,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,2.205,1
6,dynamic_risk,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,1.819,1
6,dynamic_perfect_perception,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,1.613,1
6,oracle,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,0.0,0
7,shortest_path,N2_3,1,43.50671653169129,0.2561,0,0,23.55,0.0,0.0,48.0,0,0.678,4
7,static_risk,N2_3,1,35.83722882183274,0.0,0,0,0.0,0.0,0.0,48.0,0,2.351,4
7,dynamic_risk,N2_3,1,35.823013701434775,0.0,0,0,0.0,0.0,0.0,48.0,1,7.463,4
7,dynamic_perfect_perception,N2_3,1,35.82089552238806,0.0,0,0,0.0,0.0,0.0,48.0,0,6.644,4
7,oracle,N2_3,1,35.82089552238806,0.0,0,0,0.0,0.0,0.0,48.0,0,0.0,0
8,shortest_path,N1_7,1,26.887542706270676,0.0,0,0,0.0,0.0,0.0,36.0,0,0.573,3
8,static_risk,N1_7,1,26.887106692869683,0.0,0,0,0.0,0.0,0.0,36.0,0,2.224,3
